institution,program_name,credential,admission_type,minimum_average,competitive_average,english_requirement,math_requirement,required_courses,other_requirements,source_url
MacEwan,Supply Chain Management (Major),Bachelor of Commerce,,,,,,[],[],https://calendar.macewan.ca/programs/degree-programs/bcom-supply-chain-management/
MacEwan,Bachelor of Commerce Undeclared,Bachelor of Commerce,,,,,,[],[],https://calendar.macewan.ca/programs/degree-programs/bcom-undeclared/
MacEwan,Journalism (Major),Bachelor of Communication Studies,,,,,,[],[],https://calendar.macewan.ca/programs/degree-programs/bcs-journalism/
MacEwan,Professional Communication (Major),Bachelor of Communication Studies,,,,,,[],[],https://calendar.macewan.ca/programs/degree-programs/bcs-professional-communication/
MacEwan,Public Relations (Major),Bachelor of Communication Studies,,,,,,[],[],https://calendar.macewan.ca/programs/degree-programs/bcs-public-relations/
MacEwan,Child and Youth Care,Bachelor of Child and Youth Care,,,,,,[],[],https://calendar.macewan.ca/programs/degree-programs/bcyc-child-youth-care/
MacEwan,Design,Bachelor of Design,,,,,,[],[],https://calendar.macewan.ca/programs/degree-programs/bdes-design/
MacEwan,Digital Experience Design (Major),Bachelor of Design,,,,,,[],[],https://calendar.macewan.ca/programs/degree-programs/bdes-digital-experience-design/
MacEwan,Early Childhood Curriculum Studies (BECCS),Bachelor of Early Childhood Curriculum Studies,,,,,,[],[],https://calendar.macewan.ca/programs/degree-programs/beccs-early-childhood-curriculum-studies/
MacEwan,Arts and Cultural Management (Major),Bachelor of Fine Arts,,,,,,[],[],https://calendar.macewan.ca/programs/degree-programs/bfa-arts-and-cultural-management/
MacEwan,Music Theatre Performance (Major),Bachelor of Fine Arts,,,,,,[],[],https://calendar.macewan.ca/programs/degree-programs/bfa-music-theatre-performance/
MacEwan,Studio Arts (Major),Bachelor of Fine Arts,,,,,,[],[],https://calendar.macewan.ca/programs/degree-programs/bfa-studio-arts/
MacEwan,Theatre Production (Major),Bachelor of Fine Arts,,,,,,[],[],https://calendar.macewan.ca/programs/degree-programs/bfa-theatre-production/
MacEwan,Composition Major – Bachelor of Music,Bachelor,,,,,,[],[],https://calendar.macewan.ca/programs/degree-programs/bmus-composition/
MacEwan,General (Major),Bachelor of Music,,,,,,[],[],https://calendar.macewan.ca/programs/degree-programs/bmus-general/
MacEwan,Performance (Major),Bachelor of Music,,,,,,[],[],https://calendar.macewan.ca/programs/degree-programs/bmus-performance/
MacEwan,Recording and Production (Major),Bachelor of Music,,,,,,[],[],https://calendar.macewan.ca/programs/degree-programs/bmus-recording-production/
MacEwan,Psychiatric Nursing,Bachelor of Psychiatric Nursing,,,,,,[],[],https://calendar.macewan.ca/programs/degree-programs/bpn-psychiatric-nursing/
MacEwan,Bachelor of Public Safety and Justice,Bachelor of Public Safety and Justice,,,,,,[],[],https://calendar.macewan.ca/programs/degree-programs/bpsj-public-safety-and-justice/
MacEwan,Applied Statistics (Major/Honours),Bachelor of Science,,,,,,[],[],https://calendar.macewan.ca/programs/degree-programs/bsc-applied-statistics/
MacEwan,Biological Sciences,Bachelor of Science,,,,,,[],[],https://calendar.macewan.ca/programs/degree-programs/bsc-biological-sciences/
MacEwan,Chemistry (Major),Bachelor of Science,,,,,,[],[],https://calendar.macewan.ca/programs/degree-programs/bsc-chemistry/
MacEwan,Computer Science (Major),Bachelor of Science,,,,,,[],[],https://calendar.macewan.ca/programs/degree-programs/bsc-computer-science/
MacEwan,Data Science (Major),Bachelor of Science,,,,,,[],[],https://calendar.macewan.ca/programs/degree-programs/bsc-data-science/
MacEwan,Environmental Sciences (Major),Bachelor of Science,,,,,,[],[],https://calendar.macewan.ca/programs/degree-programs/bsc-environmental-science/
MacEwan,Mathematical Sciences (Major),Bachelor of Science,,,,,,[],[],https://calendar.macewan.ca/programs/degree-programs/bsc-mathematical-sciences/
MacEwan,Mathematics (Major/Honours),Bachelor of Science,,,,,,[],[],https://calendar.macewan.ca/programs/degree-programs/bsc-mathematics/
MacEwan,Minors - Bachelor of Science,Bachelor,,,,,,[],[],https://calendar.macewan.ca/programs/degree-programs/bsc-minors/
MacEwan,Physical Sciences (Major),Bachelor of Science,,,,,,[],[],https://calendar.macewan.ca/programs/degree-programs/bsc-physical-sciences/
MacEwan,Psychology (Major/Minor/Honours),Bachelor of Science,,,,,,[],[],https://calendar.macewan.ca/programs/degree-programs/bsc-psychology/
MacEwan,Bachelor of Science Undeclared,Bachelor of Science,,,,,,[],[],https://calendar.macewan.ca/programs/degree-programs/bsc-undeclared/
MacEwan,Nursing,Bachelor of Science in Nursing,,,,,,[],[],https://calendar.macewan.ca/programs/degree-programs/bscn-nursing/
MacEwan,Social Work,Bachelor of Social Work,,,,,,[],[],https://calendar.macewan.ca/programs/degree-programs/bsw-social-work/
MacEwan,"Childhood, Youth, and Family Studies Minor",Minor,,,,,,[],[],https://calendar.macewan.ca/programs/degree-programs/childhood-youth-family-studies/
MacEwan,Minors - Fine Arts and Communication,,,,,,,[],[],https://calendar.macewan.ca/programs/degree-programs/ffac-minors/
MacEwan,Accounting Minor,Minor,,,,,,[],[],https://calendar.macewan.ca/programs/min-babs-accounting/
MacEwan,Arts and Cultural Management,,,,,,,[],[],https://calendar.macewan.ca/programs/min-babs-arts-cultural-management/
MacEwan,Business Law Minor,Minor,,,,,,[],[],https://calendar.macewan.ca/programs/min-babs-business-law/
MacEwan,Business Studies Minor,Minor,,,,,,[],[],https://calendar.macewan.ca/programs/min-babs-business-studies/
MacEwan,Classics Minor,Minor,,,,,,[],[],https://calendar.macewan.ca/programs/min-babs-classics/
MacEwan,Creative Writing Minor,Minor,,,,,,[],[],https://calendar.macewan.ca/programs/min-babs-creative-writing/
MacEwan,Cybersecurity Studies Minor,Minor,,,,,,[],[],https://calendar.macewan.ca/programs/min-babs-cybersecurity-studies/
MacEwan,Digital Experience Design,,,,,,,[],[],https://calendar.macewan.ca/programs/min-babs-digital-experience-design/
MacEwan,Earth and Planetary Sciences Minor,Minor,,,,,,[],[],https://calendar.macewan.ca/programs/min-babs-earth-planetary-sciences/
MacEwan,Environmental Sciences Minor,Minor,,,,,,[],[],https://calendar.macewan.ca/programs/min-babs-environmental-sciences/
MacEwan,Film Minor,Minor,,,,,,[],[],https://calendar.macewan.ca/programs/min-babs-film/
MacEwan,Finance Minor,Minor,,,,,,[],[],https://calendar.macewan.ca/programs/min-babs-finance/
MacEwan,French Minor,Minor,,,,,,[],[],https://calendar.macewan.ca/programs/min-babs-french/
MacEwan,Gender Studies Minor,Minor,,,,,,[],[],https://calendar.macewan.ca/programs/min-babs-gender-studies/
MacEwan,Human Resources Management Minor,Minor,,,,,,[],[],https://calendar.macewan.ca/programs/min-babs-human-resource-management/
MacEwan,Indigegogy Minor,Minor,,,,,,[],[],https://calendar.macewan.ca/programs/min-babs-indigegogy/
MacEwan,Marketing Minor,Minor,,,,,,[],[],https://calendar.macewan.ca/programs/min-babs-marketing/
MacEwan,Physics Minor,Minor,,,,,,[],[],https://calendar.macewan.ca/programs/min-babs-physics/
MacEwan,Planetary Physics Minor,Minor,,,,,,[],[],https://calendar.macewan.ca/programs/min-babs-planetary-physics/
MacEwan,Spanish Minor,Minor,,,,,,[],[],https://calendar.macewan.ca/programs/min-babs-spanish/
MacEwan,Urban Wellness Minor,Minor,,,,,,[],[],https://calendar.macewan.ca/programs/min-babs-urban-wellness/
MacEwan,Accounting Minor,Minor,,,,,,[],[],https://calendar.macewan.ca/programs/min-bcom-accounting/
MacEwan,Anthropology Minor,Minor,,,,,,[],[],https://calendar.macewan.ca/programs/min-bcom-anthropology/
