Institution,Program,Credential_Type,Min_Avg_Final,Competitive_Final,English_Req,English_Min,Math_Req,Math_Min,Social_Req,Social_Min,Science_Req,Science_Min,Elective_Qty,Elective_Pool,Status,Eng_Req,Eng_Min,Eng_30_2_Allowed,Bio_30_Req,Chem_30_Req,Phys_30_Req,Sci_30_Req,Elective_Pool_Count,Pool_Allows_Group_A,Pool_Allows_Group_B,Pool_Allows_Group_C,Pool_Allows_Group_D
MacEwan,Classics Minor,Minor,Refer to Degree,Refer to Degree,See Degree,See Degree,See Degree,See Degree,See Degree,50.0,See Degree,50,See Degree,See Degree,Active,,,,,,,,,,,,
MacEwan,Community Justice and Corrections,Other,,Minimum Only,30-1,65,,50,,50.0,,50,0,,Active,,,,,,,,,,,,
MacEwan,Community Justice and Corrections,Other,65,Minimum Only,30-1 or 30-2,65,,50,,50.0,,50,Three,"Groups A, B, C, or D",Active,,,,,,,,,,,,
MacEwan,Composition Major – Bachelor of Music,Degree,65,Minimum Only,30-1 or 30-2,65,,50,,50.0,,50,Four,"Groups A, B, C, or D",Active,,,,,,,,,,,,
MacEwan,Computer Science (Major),Degree,65,Mid-70s,30-1,65,30-1,50,,50.0,"Bio 30, Chem 30",50,Check Notes,"Groups A, B, C, or D",Active,,,,,,,,,,,,
MacEwan,Creative Writing Minor,Minor,Refer to Degree,Refer to Degree,See Degree,See Degree,See Degree,See Degree,See Degree,50.0,See Degree,50,See Degree,See Degree,Active,,,,,,,,,,,,
MacEwan,Cybersecurity Studies Minor,Minor,Refer to Degree,Refer to Degree,See Degree,See Degree,See Degree,See Degree,See Degree,50.0,See Degree,50,See Degree,See Degree,Active,,,,,,,,,,,,
MacEwan,Cybersecurity Studies Minor,Minor,Refer to Degree,Refer to Degree,See Degree,See Degree,See Degree,See Degree,See Degree,50.0,See Degree,50,See Degree,See Degree,Active,,,,,,,,,,,,
MacEwan,Cybersecurity Studies Minor,Minor,Refer to Degree,Refer to Degree,See Degree,See Degree,See Degree,See Degree,See Degree,50.0,See Degree,50,See Degree,See Degree,Active,,,,,,,,,,,,
MacEwan,Data Science (Major),Degree,65,Mid-70s,30-1,65,30-1,50,,50.0,"Bio 30, Chem 30",50,Check Notes,"Groups A, B, C, or D",Active,,,,,,,,,,,,
MacEwan,Design,Other,65,Minimum Only,30-1 or 30-2,65,,50,,50.0,,50,Four,"Groups A, B, C, or D",Active,,,,,,,,,,,,
MacEwan,Digital Experience Design,Other,65,Minimum Only,30-1,65,,50,,50.0,,50,0,,Active,,,,,,,,,,,,
MacEwan,Digital Experience Design,Other,65,Minimum Only,30-1,65,,50,,50.0,,50,0,,Active,,,,,,,,,,,,
MacEwan,Digital Experience Design (Major),Degree,65,Minimum Only,30-1 or 30-2,65,,50,,50.0,,50,Four,"Groups A, B, C, or D",Active,,,,,,,,,,,,
MacEwan,Digital Experience Design Minor,Minor,Refer to Degree,Refer to Degree,See Degree,See Degree,See Degree,See Degree,See Degree,50.0,See Degree,50,See Degree,See Degree,Active,,,,,,,,,,,,
MacEwan,Digital Experience Design Minor,Minor,Refer to Degree,Refer to Degree,See Degree,See Degree,See Degree,See Degree,See Degree,50.0,See Degree,50,See Degree,See Degree,Active,,,,,,,,,,,,
MacEwan,Early Childhood Curriculum Studies (BECCS),Other,65,Minimum Only,30-1 or 30-2,65,,50,30-1,50.0,,50,Three,"Groups A, B, C, or D",Active,,,,,,,,,,,,
MacEwan,Early Learning and Child Care,Other,65,Minimum Only,30-1,65,,50,,50.0,,50,0,,Active,,,,,,,,,,,,
MacEwan,Earth and Planetary Sciences Minor,Minor,Refer to Degree,Refer to Degree,See Degree,See Degree,See Degree,See Degree,See Degree,50.0,See Degree,50,See Degree,See Degree,Active,,,,,,,,,,,,
MacEwan,Economics,Other,65,Minimum Only,30-1,65,30-1,50,,50.0,,50,Four,"Groups A, B, C, or D",Active,,,,,,,,,,,,
MacEwan,Economics Minor,Minor,Refer to Degree,Refer to Degree,See Degree,See Degree,See Degree,See Degree,See Degree,50.0,See Degree,50,See Degree,See Degree,Active,,,,,,,,,,,,
MacEwan,Educational Assistant,Other,65,Minimum Only,30-1 or 30-2,65,,50,,50.0,,50,Two,"Groups A, B, C, or D",Active,,,,,,,,,,,,
MacEwan,Emergency Communications and Response,Other,65,Minimum Only,30-1 or 30-2,65,,50,,50.0,,50,Three,"Groups A, B, C, or D",Active,,,,,,,,,,,,
MacEwan,English,Other,65,Minimum Only,30-1,65,30-1,50,,50.0,,50,Four,"Groups A, B, C, or D",Active,,,,,,,,,,,,
MacEwan,English as an Additional Language (EAL),Other,65,Minimum Only,30-1,65,,50,,50.0,,50,0,,Active,,,,,,,,,,,,
MacEwan,Environmental Sciences (Major),Degree,65,Mid-70s,30-1,65,30-1,50,,50.0,"Bio 30, Chem 30",50,Check Notes,"Groups A, B, C, or D",Active,,,,,,,,,,,,
MacEwan,Environmental Sciences Minor,Minor,Refer to Degree,Refer to Degree,See Degree,See Degree,See Degree,See Degree,See Degree,50.0,See Degree,50,See Degree,See Degree,Active,,,,,,,,,,,,
MacEwan,Film Minor,Minor,Refer to Degree,Refer to Degree,See Degree,See Degree,See Degree,See Degree,See Degree,50.0,See Degree,50,See Degree,See Degree,Active,,,,,,,,,,,,
MacEwan,Film Minor,Minor,Refer to Degree,Refer to Degree,See Degree,See Degree,See Degree,See Degree,See Degree,50.0,See Degree,50,See Degree,See Degree,Active,,,,,,,,,,,,
MacEwan,Finance Minor,Minor,Refer to Degree,Refer to Degree,See Degree,See Degree,See Degree,See Degree,See Degree,50.0,See Degree,50,See Degree,See Degree,Active,,,,,,,,,,,,
MacEwan,Finance Minor,Minor,Refer to Degree,Refer to Degree,See Degree,See Degree,See Degree,See Degree,See Degree,50.0,See Degree,50,See Degree,See Degree,Active,,,,,,,,,,,,
MacEwan,Foundation Program International,Other,65,Minimum Only,30-1,65,,50,,50.0,,50,0,,Active,,,,,,,,,,,,
MacEwan,French Minor,Minor,Refer to Degree,Refer to Degree,See Degree,See Degree,See Degree,See Degree,See Degree,50.0,See Degree,50,See Degree,See Degree,Active,,,,,,,,,,,,
MacEwan,French Minor,Minor,Refer to Degree,Refer to Degree,See Degree,See Degree,See Degree,See Degree,See Degree,50.0,See Degree,50,See Degree,See Degree,Active,,,,,,,,,,,,
MacEwan,Gender Studies Minor,Minor,Refer to Degree,Refer to Degree,See Degree,See Degree,See Degree,See Degree,See Degree,50.0,See Degree,50,See Degree,See Degree,Active,,,,,,,,,,,,
MacEwan,General (Major),Degree,65,Minimum Only,30-1 or 30-2,65,,50,,50.0,,50,Four,"Groups A, B, C, or D",Active,,,,,,,,,,,,
MacEwan,Gerontology,Other,65,Minimum Only,30-1,65,,50,,50.0,,50,0,,Active,,,,,,,,,,,,
MacEwan,Graphic Design Minor,Minor,Refer to Degree,Refer to Degree,See Degree,See Degree,See Degree,See Degree,See Degree,50.0,See Degree,50,See Degree,See Degree,Active,,,,,,,,,,,,
MacEwan,Graphic Design Minor,Minor,Refer to Degree,Refer to Degree,See Degree,See Degree,See Degree,See Degree,See Degree,50.0,See Degree,50,See Degree,See Degree,Active,,,,,,,,,,,,
MacEwan,Hearing Aid Practitioner,Other,65,Minimum Only,30-1 or 30-2,65,,50,,50.0,,50,Check Notes,"Groups A, B, C, or D",Active,,,,,,,,,,,,
MacEwan,History (Major/Minor),Degree,65,Minimum Only,30-1,65,30-1,50,,50.0,,50,Four,"Groups A, B, C, or D",Active,,,,,,,,,,,,
MacEwan,History Minor,Minor,Refer to Degree,Refer to Degree,See Degree,See Degree,See Degree,See Degree,See Degree,50.0,See Degree,50,See Degree,See Degree,Active,,,,,,,,,,,,
MacEwan,Hospice Palliative Care,Other,65,Minimum Only,30-1,65,,50,,50.0,,50,0,,Active,,,,,,,,,,,,
MacEwan,Human Resources Management,Other,65,Minimum Only,30-1 or 30-2,65,,50,,50.0,,50,Three,"Groups A, B, C, or D",Active,,,,,,,,,,,,
MacEwan,Human Resources Management (Major),Degree,65,Minimum Only,30-1,65,30-1 or 30-2,50,,50.0,,50,Three,"Groups A, B, C, or D",Active,,,,,,,,,,,,
MacEwan,Human Resources Management Minor,Minor,Refer to Degree,Refer to Degree,See Degree,See Degree,See Degree,See Degree,See Degree,50.0,See Degree,50,See Degree,See Degree,Active,,,,,,,,,,,,
MacEwan,Human Resources Management Minor,Minor,Refer to Degree,Refer to Degree,See Degree,See Degree,See Degree,See Degree,See Degree,50.0,See Degree,50,See Degree,See Degree,Active,,,,,,,,,,,,
MacEwan,Human Service Administration,Other,Requires Degree/Diploma,Minimum Only,30-1,65,,50,,50.0,,50,0,,Active,,,,,,,,,,,,
MacEwan,Indigegogy Minor,Minor,Refer to Degree,Refer to Degree,See Degree,See Degree,See Degree,See Degree,See Degree,50.0,See Degree,50,See Degree,See Degree,Active,,,,,,,,,,,,
MacEwan,Innovation and Entrepreneurship Minor,Minor,Refer to Degree,Refer to Degree,See Degree,See Degree,See Degree,See Degree,See Degree,50.0,See Degree,50,See Degree,See Degree,Active,,,,,,,,,,,,
MacEwan,Insurance and Risk Management,Other,65,Minimum Only,30-1 or 30-2,65,30-1 or 30-2,50,,50.0,,50,Three,"Groups A, B, C, or D",Active,,,,,,,,,,,,
MacEwan,International Business (Major),Degree,65,Minimum Only,30-1,65,30-1 or 30-2,50,,50.0,,50,Three,"Groups A, B, C, or D",Active,,,,,,,,,,,,
MacEwan,International Business Minor,Minor,Refer to Degree,Refer to Degree,See Degree,See Degree,See Degree,See Degree,See Degree,50.0,See Degree,50,See Degree,See Degree,Active,,,,,,,,,,,,
MacEwan,Investigative Studies,Other,65,Mid-to-high 70s,30-1 or 30-2,65,,50,,50.0,,50,Three,"Groups A, B, C, or D",Active,,,,,,,,,,,,
MacEwan,Journalism (Major),Degree,65,Minimum Only,30-1,65,,50,,50.0,,50,Four,"Groups A, B, C, or D",Active,,,,,,,,,,,,
MacEwan,Journalism Minor,Minor,Refer to Degree,Refer to Degree,See Degree,See Degree,See Degree,See Degree,See Degree,50.0,See Degree,50,See Degree,See Degree,Active,,,,,,,,,,,,
MacEwan,Journalism Minor,Minor,Refer to Degree,Refer to Degree,See Degree,See Degree,See Degree,See Degree,See Degree,50.0,See Degree,50,See Degree,See Degree,Active,,,,,,,,,,,,
