Institution,Program,Credential_Type,Min_Avg_Final,Competitive_Final,English_Req,English_Min,Math_Req,Math_Min,Social_Req,Social_Min,Science_Req,Science_Min,Elective_Qty,Elective_Pool,Status,Eng_Req,Eng_Min,Eng_30_2_Allowed,Bio_30_Req,Chem_30_Req,Phys_30_Req,Sci_30_Req,Elective_Pool_Count,Pool_Allows_Group_A,Pool_Allows_Group_B,Pool_Allows_Group_C,Pool_Allows_Group_D
MacEwan,pimâcihisowin Foundation Program (PFP),Other,65,Minimum Only,30-1,65,,50,,50.0,,50,0,,Active,,,,,,,,,,,,
NAIT,1. Application,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,2. Schedule,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,3. Register,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,4. Create Account,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,5 programs receive government funding for expansion,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,5. Confirmation,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,6. Get Set Up,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,AI and Data Governance for Innovation and Impact,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,AI-Driven Project Management,Diploma,65.0,Minimum Only,,,Math 30-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,AWS Academy Cloud,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,About,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Accomplishments,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Advanced Healthcare Leadership,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Advanced Machining Centre Programming - Milling,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Advanced Turning Centre Programming - Lathe,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,After Your Student Applies,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Agentic AI Foundation,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Alberta Advantage Immigration Program,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,All other NAIT programs,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Alumni profile: Clifton Lofthaug,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Alumni profile: Jesse Tutt,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Alumni profile: Nicole Dunlop,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Animation (Area of Emphasis),Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Apple iOS iPhone/iPad Mobile Developer,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Apprentice Sponsorship,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Apprenticeship Pathways,Apprenticeship,,Employer Required,,,Grade 10 Equivalent,50,,,,50,,,Active,Grade 10-12 Equivalent,50.0,,No,No,No,No,,No,No,No,No
NAIT,Artisanal Food Market,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Bachelor of Business Administration (BBA) Co-operative Education,Degree,70.0,Minimum Only,,,Math 30-1,50,,,,50,,,Active,English 30-1,50.0,No,No,No,No,No,,No,No,No,No
NAIT,Basic Machine Centre Programming - Milling,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Basic Turning Centre Programming - Lathe,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Be Future Ready Form,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Become a Certified Digital Marketing Professional,Diploma,65.0,Minimum Only,,,Math 30-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Before Your Student Applies,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Blockchain Smart Contract,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Breast Sonography,Diploma,75.0,Mid-to-high 80s,,,Math 30-1,50,,,,50,,,Active,English 30-1,50.0,No,Yes,Yes,No,No,,No,No,No,No
NAIT,Building a stronger foundation for construction to grow and succeed - Giving,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Business Continuity Management Program (BCMP) Sustainment,Diploma,65.0,Minimum Only,,,Math 30-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Business Degree and Diploma Programs,Diploma,65.0,Minimum Only,,,Math 30-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Business Innovation Showcase,Diploma,65.0,Minimum Only,,,Math 30-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Business Risk Management,Diploma,65.0,Minimum Only,,,Math 30-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,C/C++ Programming Language,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,CAMS Thank You Page,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,CLA: Programming Essentials in C,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,CPA Education Foundation bolsters business learning - Giving,Diploma,65.0,Minimum Only,,,Math 30-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,CPA: Programming Essentials in C++,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Canadian Registered Safety Technician (CRST),Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Career Mentorship,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Ceremony Schedule by Program,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Certified Risk Management Professional (CRMP),Diploma,65.0,Minimum Only,,,Math 30-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Chef in Residence,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Choosing Your NAIT Program,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Clean Energy,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Club Culinaire,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Competitive Entrance,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Computer Software Development (Area of Emphasis),Diploma,65.0,Minimum Only,,,Math 30-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Construction Leadership and Supervision (CLS),Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Continuing Education Programs & Courses,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Core Programming,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Corporate Training Inquiry,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Credit Program Students,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Culinary Arts and Professional Food Studies,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Culinary Programs,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Dental and Denture Clinic,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Digital Cinema (Area of Emphasis),Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Digital Marketing,Diploma,65.0,Minimum Only,,,Math 30-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Digital Marketing Associate Tracks,Diploma,65.0,Minimum Only,,,Math 30-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Digital Marketing Professional Certification,Diploma,65.0,Minimum Only,,,Math 30-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Digital Marketing Specialist,Diploma,65.0,Minimum Only,,,Math 30-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Driving Net Zero,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Drone Training,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Emergency Medical Responder (EMR),Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Energy Process Operator,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Engineering Students to Craft Rope Suspension Bridges across Whitemud Creek,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,English Summer Language Program,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Entrepreneurship Blue Book Program,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Entrepreneurship and Business Management,Diploma,65.0,Minimum Only,,,Math 30-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,"Equity, Diversity, and Inclusion",Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Events & Programs,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Explore your options,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,FAQ - Applying to a Program at NAIT,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Find a Program,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Fitness & Recreation Programs,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Full Stack Development Bootcamp,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Fundamentals of Cloud Programming,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Game Design (Area of Emphasis),Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Game Programming (Area of Emphasis),Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Generative AI: From Concepts to Real-World Solution,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Get hands-on with NAIT programs at Open House,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Glossary of NAIT Terms - MyNAIT,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Guest Chef in Residence 2024,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Hazard Assessment Program,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Health Science,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Home Inspection Training Program: Air Conditioning and Heat Pumps,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Home Inspection Training Program: Communication and Professional Practice,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Home Inspection Training Program: Electrical,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Home Inspection Training Program: Exterior,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Home Inspection Training Program: Heating I,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Home Inspection Training Program: Heating II,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Home Inspection Training Program: Insulation and Interior,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Home Inspection Training Program: Plumbing,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Home Inspection Training Program: Roofing,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Home Inspection Training Program: Structure,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Homeschool Students Form,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,How To Apply,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,ICON Student Managed Investment Fund,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,IGNITE Program,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,IT Business Analysis (Area of Emphasis),Diploma,65.0,Minimum Only,,,Math 30-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,IT System Administration (Area of Emphasis),Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Implementing a Crisis Management Program,Diploma,65.0,Minimum Only,,,Math 30-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Industry Engagement,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Innovation Challenge,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Interior Design Business Tools,Diploma,65.0,Minimum Only,,,Math 30-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Intermediate Machine Centre Programming - Milling,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Intermediate Turning Centre Programming - Lathe,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,International Peer Group,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,International Society of Automation Courses,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,International Student Program Changes,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Interprofessional Education,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Introduction to CNC Programming,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Introduction to Programming,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Introduction to Reforestation,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,JR Shaw,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,JR Shaw School of Business,Diploma,65.0,Minimum Only,,,Math 30-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,"JR Shaw School of Business Info Session - June 27, 2023",Diploma,65.0,Minimum Only,,,Math 30-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Jill of All Trades,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Join the ICON team,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Logo Design and Visual Identity,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Machine Learning and Artificial Intelligence Bootcamp,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Mastering Power BI,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Materials Testing Labs,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Mature Student Form,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Mawji Centre for New Venture and Student Entrepreneurship,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Mawji Student Ambassador Program,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Mental Health and Well-Being,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Mentorship,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Mentorship at NAIT,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Microsoft Full-Stack Web Developer,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,Microsoft Power Platform,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,NAIT Apprenticeship Form,Apprenticeship,,Employer Required,,,Grade 10 Equivalent,50,,,,50,,,Active,Grade 10-12 Equivalent,50.0,,No,No,No,No,,No,No,No,No
NAIT,NAIT Bakes,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,NAIT Code Word Form,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,NAIT Event Check In,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,NAIT Hiring Fair,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,NAIT International Culinary Exchange,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,NAIT International Sign Up,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,NAIT Jill of all Trades Registration,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,NAIT Launches Engagement Phase for Paused Programs,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,NAIT Next In Trades Registration,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,NAIT Olympic Culinary Team,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,NAIT Open House Contest,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,NAIT Surveying and Geospatial Events,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,NAIT Work-Integrated Learning Project Chosen as One of 13 BHER-CEWIL Grant Initiative Recipients,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,NAIT joins program launch to help students from the Philippines study in Canada,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,NAIT launches 5 new programs,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,NAIT reviews programs for future growth and innovation,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,NAIT shifts to online lecture and theory program delivery until at least Jan. 21,Certificate,60.0,Minimum Only,,,Math 20-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
NAIT,NAIT’s JR Shaw School of Business launches Accountant-in-Residence program,Diploma,65.0,Minimum Only,,,Math 30-2,50,,,,50,,,Active,English 30-2,50.0,Yes,No,No,No,No,,No,No,No,No
