program_name,program_href,program_url_seed,requirements_url,seed_source
Biological Sciences,/academics/academic-departments/biological-sciences/academics/biological-sciences-major/,https://www.macewan.ca/academics/academic-departments/biological-sciences/academics/biological-sciences-major/,,macewan-link-list-element
Bridge to Canadian Nursing,/academics/programs/bridge-to-canadian-nursing/,https://www.macewan.ca/academics/programs/bridge-to-canadian-nursing/,,macewan-link-list-element
Business Management,/academics/programs/business-management/academics/certificate-exit/,https://www.macewan.ca/academics/programs/business-management/academics/certificate-exit/,https://www.macewan.ca/academics/programs/business-management/admissions/requirements/index.html,macewan-link-list-element
Chemistry,/academics/academic-departments/physical-sciences/academics/chemistry-major/,https://www.macewan.ca/academics/academic-departments/physical-sciences/academics/chemistry-major/,,macewan-link-list-element
Child and Youth Care,/academics/programs/bachelor-of-child-and-youth-care/academics/diploma-exit/,https://www.macewan.ca/academics/programs/bachelor-of-child-and-youth-care/academics/diploma-exit/,https://www.macewan.ca/academics/programs/bachelor-of-child-and-youth-care/admissions/requirements/index.html,macewan-link-list-element
Community Justice and Corrections,/academics/programs/community-justice-and-corrections/,https://www.macewan.ca/academics/programs/community-justice-and-corrections/,https://www.macewan.ca/academics/programs/community-justice-and-corrections/admissions/requirements/index.html,macewan-link-list-element
Composition,/academics/programs/bachelor-of-music/academics/music-compositition-major/,https://www.macewan.ca/academics/programs/bachelor-of-music/academics/music-compositition-major/,https://www.macewan.ca/academics/programs/bachelor-of-music/admissions/requirements/index.html,macewan-link-list-element
Computer Science,/academics/academic-departments/computer-science/academics/computer-science-major/,https://www.macewan.ca/academics/academic-departments/computer-science/academics/computer-science-major/,,macewan-link-list-element
Data Science,/academics/academic-departments/mathematics-statistics/academics/data-science-major/,https://www.macewan.ca/academics/academic-departments/mathematics-statistics/academics/data-science-major/,,macewan-link-list-element
Digital Experience Design,/academics/programs/digital-experience-design/,https://www.macewan.ca/academics/programs/digital-experience-design/,https://www.macewan.ca/academics/programs/digital-experience-design/admissions/requirements/index.html,macewan-link-list-element
Digital Experience Design,/academics/programs/bachelor-of-design/academics/digital-experience-design-pathway-major/,https://www.macewan.ca/academics/programs/bachelor-of-design/academics/digital-experience-design-pathway-major/,https://www.macewan.ca/academics/programs/bachelor-of-design/admissions/requirements/index.html,macewan-link-list-element
Early Learning and Child Care,/academics/programs/bachelor-of-early-childhood-curriculum-studies/academics/diploma-exit/,https://www.macewan.ca/academics/programs/bachelor-of-early-childhood-curriculum-studies/academics/diploma-exit/,https://www.macewan.ca/academics/programs/bachelor-of-early-childhood-curriculum-studies/admissions/requirements/index.html,macewan-link-list-element
Economics,/academics/academic-departments/anthropology-economics-political-science/academics/economics-honours/,https://www.macewan.ca/academics/academic-departments/anthropology-economics-political-science/academics/economics-honours/,,macewan-link-list-element
Economics,/academics/academic-departments/anthropology-economics-political-science/academics/economics-major/,https://www.macewan.ca/academics/academic-departments/anthropology-economics-political-science/academics/economics-major/,,macewan-link-list-element
Educational Assistant,/academics/programs/educational-assistant/,https://www.macewan.ca/academics/programs/educational-assistant/,https://www.macewan.ca/academics/programs/educational-assistant/admissions/requirements/index.html,macewan-link-list-element
Emergency Communications and Response,/academics/programs/emergency-communications-response/,https://www.macewan.ca/academics/programs/emergency-communications-response/,https://www.macewan.ca/academics/programs/emergency-communications-response/admissions/requirements/index.html,macewan-link-list-element
English,/academics/academic-departments/english/academics/english-honours/,https://www.macewan.ca/academics/academic-departments/english/academics/english-honours/,,macewan-link-list-element
English,/academics/academic-departments/english/academics/english-major/,https://www.macewan.ca/academics/academic-departments/english/academics/english-major/,,macewan-link-list-element
English as an Additional Language (EAL),/academics/programs/english-as-an-additional-language/,https://www.macewan.ca/academics/programs/english-as-an-additional-language/,,macewan-link-list-element
Environmental Sciences,/academics/academic-departments/physical-sciences/academics/environmental-sciences-major/,https://www.macewan.ca/academics/academic-departments/physical-sciences/academics/environmental-sciences-major/,,macewan-link-list-element
Foundation Program International,/academics/programs/foundation-program-international/,https://www.macewan.ca/academics/programs/foundation-program-international/,,macewan-link-list-element
Foundation Program pimâcihisowin,/academics/programs/foundation-program-pimacihisowin/,https://www.macewan.ca/academics/programs/foundation-program-pimacihisowin/,,macewan-link-list-element
General,/academics/programs/bachelor-of-music/academics/music-general-major/,https://www.macewan.ca/academics/programs/bachelor-of-music/academics/music-general-major/,https://www.macewan.ca/academics/programs/bachelor-of-music/admissions/requirements/index.html,macewan-link-list-element
Gerontology,/academics/programs/gerontology/,https://www.macewan.ca/academics/programs/gerontology/,https://www.macewan.ca/academics/programs/gerontology/admissions/requirements/index.html,macewan-link-list-element
Graphic Design,/academics/programs/bachelor-of-design/academics/diploma-exit/,https://www.macewan.ca/academics/programs/bachelor-of-design/academics/diploma-exit/,https://www.macewan.ca/academics/programs/bachelor-of-design/admissions/requirements/index.html,macewan-link-list-element
Hearing Aid Practitioner,/academics/programs/hearing-aid-practitioner/,https://www.macewan.ca/academics/programs/hearing-aid-practitioner/,https://www.macewan.ca/academics/programs/hearing-aid-practitioner/admissions/requirements/index.html,macewan-link-list-element
History,/academics/academic-departments/humanities/academics/history-major/,https://www.macewan.ca/academics/academic-departments/humanities/academics/history-major/,,macewan-link-list-element
Hospice Palliative Care,/academics/programs/hospice-palliative-care/,https://www.macewan.ca/academics/programs/hospice-palliative-care/,https://www.macewan.ca/academics/programs/hospice-palliative-care/admissions/requirements/index.html,macewan-link-list-element
Human Resources Management,/academics/programs/human-resources-management/academics/certificate-exit/,https://www.macewan.ca/academics/programs/human-resources-management/academics/certificate-exit/,https://www.macewan.ca/academics/programs/human-resources-management/admissions/requirements/index.html,macewan-link-list-element
Human Resources Management,/academics/academic-departments/management-organizations/academics/hrmt-honours/,https://www.macewan.ca/academics/academic-departments/management-organizations/academics/hrmt-honours/,,macewan-link-list-element
