program_name,program_url,program_type,faculty,college,campus,language,seed_source,fetched_at_utc
Medical Laboratory Science,https://www.ualberta.ca/en/undergraduate-programs/bachelor-science-medical-laboratory-science.html,General / Major,Medicine and Dentistry,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Medicine,https://www.ualberta.ca/en/undergraduate-programs/doctor-of-medicine-medicine.html,General / Major,Medicine and Dentistry,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Mining Engineering,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-in-mining-engineering-mining-engineering.html,General / Major,Engineering,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Modern Languages and Cultural Studies,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-arts-modern-languages-and-cultural-studies.html,General / Major,Arts,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
"Molecular, Cellular and Developmental Biology",https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-with-major-molecular-cellular-and-developmental-biology.html,General / Major,Science,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Music,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-arts-music.html,General / Major,Arts,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Music: Wind Band,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-education-in-secondary-education-music.html,General / Major,Education,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Musique,https://www.ualberta.ca/en/undergraduate-programs/baccalaureat-en-education-secondaire-musique.html,General / Major,Faculté Saint-Jean,,Campus Saint-Jean (Edmonton),French,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Nanoengineering,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-in-electrical-engineering-nanoengineering-option-nanoengineering.html,General / Major,Engineering,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Nanoengineering,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-in-engineering-physics-nanoengineering-option-nanoengineering.html,General / Major,Engineering,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Nanoscale System Design,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-in-computer-engineering-nanoscale-system-design-option-nanoscale-system-design.html,General / Major,Engineering,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Native Studies,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-arts-in-native-studies-native-studies.html,General / Major,Native Studies,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Native Studies,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-in-environmental-and-conservation-sciences-native-studies.html,General / Major,Native Studies,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Neuroscience,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-with-major-neuroscience.html,General / Major,Science,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Nursing,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-in-nursing-nursing.html,General / Major,Nursing,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Nursing,https://www.ualberta.ca/en/undergraduate-programs/bilingual-bachelor-of-science-in-nursing-nursing.html,General / Major,Nursing,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Operations Management,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-commerce-operations-management.html,General / Major,Business,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Paleontology,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-with-major-paleontology.html,General / Major,Science,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Performance,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-music-performance.html,General / Major,Arts,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Petroleum Engineering,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-in-petroleum-engineering-petroleum-engineering.html,General / Major,Engineering,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Pharmacology,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-with-major-pharmacology.html,General / Major,Science,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Pharmacy (entry-to-practice),https://www.ualberta.ca/en/undergraduate-programs/doctor-of-pharmacy-pharmacy-entry-to-practice.html,General / Major,Pharmacy and Pharmaceutical Sciences,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Pharmacy (for practicing pharmacists),https://www.ualberta.ca/en/undergraduate-programs/doctor-of-pharmacy-pharmacy-for-practicing-pharmacists.html,General / Major,Pharmacy and Pharmaceutical Sciences,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Philosophy,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-arts-philosophy.html,General / Major,Arts,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Physical Activity and Health,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-kinesiology-physical-activity-and-health.html,General / Major,"Kinesiology, Sport, and Recreation",,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Physical Education,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-arts-physical-education.html,General / Major,Augustana,,Augustana (Camrose),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Physical Education,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-education-in-secondary-education-physical-education.html,General / Major,Education,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Physical Education,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-physical-education.html,General / Major,Augustana,,Augustana (Camrose),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Physical Sciences,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-education-in-secondary-education-physical-sciences.html,General / Major,Education,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Physics,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-education-in-secondary-education-physics.html,General / Major,Education,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Physics,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-with-major-physics.html,General / Major,Science,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Physiology,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-with-major-physiology.html,General / Major,Science,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Physique,https://www.ualberta.ca/en/undergraduate-programs/baccalaureat-es-sciences-physique.html,General / Major,Faculté Saint-Jean,,Campus Saint-Jean (Edmonton),French,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Planning,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-arts-planning.html,General / Major,Arts,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Planning,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-with-major-planning.html,General / Major,Science,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Political Science,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-arts-political-science.html,General / Major,Arts,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Production - Design Route,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-fine-arts-in-drama-production-design-route.html,General / Major,Arts,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Production - Stage Management Route,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-fine-arts-in-drama-production-stage-management-route.html,General / Major,Arts,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Production - Technical Production Route,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-fine-arts-in-drama-production-technical-production-route.html,General / Major,Arts,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Psychologie,https://www.ualberta.ca/en/undergraduate-programs/baccalaureat-es-arts-psychologie.html,General / Major,Faculté Saint-Jean,,Campus Saint-Jean (Edmonton),French,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Psychologie sciences,https://www.ualberta.ca/en/undergraduate-programs/baccalaureat-es-sciences-psychologie-sciences.html,General / Major,Faculté Saint-Jean,,Campus Saint-Jean (Edmonton),French,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
Psychology,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-arts-psychology.html,General / Major,Arts,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-14T17:09:22Z
