program_name,program_href,program_url,credential,seed_source
Health Care Leadership,/programs-and-courses/programs/health-care-leadership/,https://www.norquest.ca/programs-and-courses/programs/health-care-leadership/,Post-diploma certificate,norquest-programsearch-api
Hospital Unit Clerk,/programs-and-courses/programs/hospital-unit-clerk/,https://www.norquest.ca/programs-and-courses/programs/hospital-unit-clerk/,Certificate,norquest-programsearch-api
Hospitality Industry Fundamentals,/programs-and-courses/programs/hospitality-industry-fundamentals/,https://www.norquest.ca/programs-and-courses/programs/hospitality-industry-fundamentals/,Microcredential,norquest-programsearch-api
Indigenous Studies,/programs-and-courses/programs/indigenous-studies/,https://www.norquest.ca/programs-and-courses/programs/indigenous-studies/,Diploma,norquest-programsearch-api
Insurance Professional,/programs-and-courses/programs/insurance-professional/,https://www.norquest.ca/programs-and-courses/programs/insurance-professional/,Completion certificate,norquest-programsearch-api
Interdisciplinary Therapy Assistant,/programs-and-courses/programs/interdisciplinary-therapy-assistant/,https://www.norquest.ca/programs-and-courses/programs/interdisciplinary-therapy-assistant/,Diploma,norquest-programsearch-api
Introduction to Anti-racism,/programs-and-courses/programs/introduction-to-anti-racism/,https://www.norquest.ca/programs-and-courses/programs/introduction-to-anti-racism/,Digital badge,norquest-programsearch-api
Introduction to Applied Research for Innovation,/programs-and-courses/programs/introduction-to-applied-research-for-innovation/,https://www.norquest.ca/programs-and-courses/programs/introduction-to-applied-research-for-innovation/,Microcredential,norquest-programsearch-api
Introduction to Aviation Operations,/programs-and-courses/programs/introduction-to-aviation-operations/,https://www.norquest.ca/programs-and-courses/programs/introduction-to-aviation-operations/,Microcredential,norquest-programsearch-api
Introduction to Esports,/programs-and-courses/programs/esports/,https://www.norquest.ca/programs-and-courses/programs/esports/,Microcredential,norquest-programsearch-api
Introduction to Inclusion,/programs-and-courses/programs/introduction-to-inclusion/,https://www.norquest.ca/programs-and-courses/programs/introduction-to-inclusion/,Digital badge,norquest-programsearch-api
Introduction to Intercultural Understanding,/programs-and-courses/programs/introduction-to-intercultural-understanding/,https://www.norquest.ca/programs-and-courses/programs/introduction-to-intercultural-understanding/,Digital badge,norquest-programsearch-api
Justice,/programs-and-courses/programs/justice/,https://www.norquest.ca/programs-and-courses/programs/justice/,Diploma,norquest-programsearch-api
Leadership Training Certificate,/programs-and-courses/programs/leadership-training-certificate/,https://www.norquest.ca/programs-and-courses/programs/leadership-training-certificate/,Completion certificate,norquest-programsearch-api
LINC - Language Instruction for Newcomers to Canada,/programs-and-courses/programs/language-instruction-for-newcomers-to-canada/,https://www.norquest.ca/programs-and-courses/programs/language-instruction-for-newcomers-to-canada/,Completion certificate,norquest-programsearch-api
Machine Learning Analyst,/programs-and-courses/programs/machine-learning-analyst/,https://www.norquest.ca/programs-and-courses/programs/machine-learning-analyst/,Diploma,norquest-programsearch-api
Medical Device Reprocessing Technician,/programs-and-courses/programs/medical-device-reprocessing-technician/,https://www.norquest.ca/programs-and-courses/programs/medical-device-reprocessing-technician/,Certificate,norquest-programsearch-api
Medical Office Assistant,/programs-and-courses/programs/medical-office-assistant/,https://www.norquest.ca/programs-and-courses/programs/medical-office-assistant/,Certificate,norquest-programsearch-api
Mental Health and Addiction Support Worker,/programs-and-courses/programs/mental-health-and-addiction-support-worker/,https://www.norquest.ca/programs-and-courses/programs/mental-health-and-addiction-support-worker/,Diploma,norquest-programsearch-api
Mental Health Recovery Practitioner,/programs-and-courses/programs/mental-health-recovery-practitioner/,https://www.norquest.ca/programs-and-courses/programs/mental-health-recovery-practitioner/,Post-diploma certificate,norquest-programsearch-api
"New Media, Communications, and Technology Specialization",/programs-and-courses/programs/new-media-communications-and-technology-specialization/,https://www.norquest.ca/programs-and-courses/programs/new-media-communications-and-technology-specialization/,Diploma,norquest-programsearch-api
Pharmacy Technician,/programs-and-courses/programs/pharmacy-technician/,https://www.norquest.ca/programs-and-courses/programs/pharmacy-technician/,Diploma,norquest-programsearch-api
Practical Nurse,/programs-and-courses/programs/practical-nurse/,https://www.norquest.ca/programs-and-courses/programs/practical-nurse/,Diploma,norquest-programsearch-api
Practical Nurse Diploma for Internationally Educated Nurses,/programs-and-courses/programs/practical-nurse-diploma-for-internationally-educated-nurses/,https://www.norquest.ca/programs-and-courses/programs/practical-nurse-diploma-for-internationally-educated-nurses/,Diploma,norquest-programsearch-api
Promoting Labour Market Attachment for Newcomers Living With Disabilities,/programs-and-courses/programs/promoting-labour-market-attachment-for-newcomers-living-with-disabilities/,https://www.norquest.ca/programs-and-courses/programs/promoting-labour-market-attachment-for-newcomers-living-with-disabilities/,Completion certificate,norquest-programsearch-api
Settlement Studies,/programs-and-courses/programs/settlement-studies/,https://www.norquest.ca/programs-and-courses/programs/settlement-studies/,Diploma,norquest-programsearch-api
Social Work,/programs-and-courses/programs/social-work/,https://www.norquest.ca/programs-and-courses/programs/social-work/,Diploma,norquest-programsearch-api
Solar Photovoltaic (PV) Systems and Installation,/programs-and-courses/programs/solar-systems-and-installation/,https://www.norquest.ca/programs-and-courses/programs/solar-systems-and-installation/,Microcredential,norquest-programsearch-api
Sustainability Coordinator,/programs-and-courses/programs/sustainability-coordinator/,https://www.norquest.ca/programs-and-courses/programs/sustainability-coordinator/,Diploma,norquest-programsearch-api
Taxi Ambassador,/programs-and-courses/programs/taxi-ambassador/,https://www.norquest.ca/programs-and-courses/programs/taxi-ambassador/,Completion certificate,norquest-programsearch-api
Teaching English as a Second Language,/programs-and-courses/programs/teaching-english-as-a-second-language/,https://www.norquest.ca/programs-and-courses/programs/teaching-english-as-a-second-language/,Completion certificate,norquest-programsearch-api
Therapeutic Recreation,/programs-and-courses/programs/therapeutic-recreation/,https://www.norquest.ca/programs-and-courses/programs/therapeutic-recreation/,Diploma,norquest-programsearch-api
Tourism Supply Chain Fundamentals,/programs-and-courses/programs/tourism-supply-chain-fundamentals/,https://www.norquest.ca/programs-and-courses/programs/tourism-supply-chain-fundamentals/,Microcredential,norquest-programsearch-api
Trades Pathways for Newcomers - Carpentry,/programs-and-courses/programs/trades-pathways-for-newcomers-carpentry/,https://www.norquest.ca/programs-and-courses/programs/trades-pathways-for-newcomers-carpentry/,Completion certificate,norquest-programsearch-api
Transitions to Employment,/programs-and-courses/programs/transitions-to-employment/,https://www.norquest.ca/programs-and-courses/programs/transitions-to-employment/,Certificate,norquest-programsearch-api
Upskilling For Data Analytics and Business Intelligence for Autistic Individuals,/programs-and-courses/programs/upskilling-for-data-analytics-and-business-intelligence/,https://www.norquest.ca/programs-and-courses/programs/upskilling-for-data-analytics-and-business-intelligence/,Completion certificate,norquest-programsearch-api
Veterinary Office Assistant,/programs-and-courses/programs/veterinary-office-assistant/,https://www.norquest.ca/programs-and-courses/programs/veterinary-office-assistant/,Certificate,norquest-programsearch-api
Workplace Soft Skills,/programs-and-courses/programs/workplace-soft-skills/,https://www.norquest.ca/programs-and-courses/programs/workplace-soft-skills/,Completion certificate,norquest-programsearch-api
