institution,program_name,credential,admission_type,source_url,notes_uncertain
NorQuest,Flight Attendant,Completion certificate,,https://www.norquest.ca/programs-and-courses/programs/flight-attendant/,
NorQuest,Foundational Business and Entrepreneurial Skills in Healthcare,Microcredential,,https://www.norquest.ca/programs-and-courses/programs/foundational-business-and-entrepreneurial-skills-in-healthcare/,
NorQuest,Foundations for Learning,Course credits,,https://www.norquest.ca/programs-and-courses/programs/foundations-for-learning/,
NorQuest,Greenhouse Practices and Operational Fundamentals,Microcredential,,https://www.norquest.ca/programs-and-courses/programs/greenhouse-practices/,
NorQuest,Health Care Aide,Certificate,,https://www.norquest.ca/programs-and-courses/programs/health-care-aide/,
NorQuest,Health Care Aide Workplace,Certificate,,https://www.norquest.ca/programs-and-courses/programs/health-care-aide-workplace/,
NorQuest,Health Care Leadership,Post-diploma certificate,,https://www.norquest.ca/programs-and-courses/programs/health-care-leadership/,
NorQuest,Health Information Management,Microcredential,,https://www.norquest.ca/programs-and-courses/programs/health-information-management/,
NorQuest,Hospital Unit Clerk,Certificate,,https://www.norquest.ca/programs-and-courses/programs/hospital-unit-clerk/,
NorQuest,Hospitality Industry Fundamentals,Microcredential,,https://www.norquest.ca/programs-and-courses/programs/hospitality-industry-fundamentals/,
NorQuest,Indigenous Studies,Diploma,,https://www.norquest.ca/programs-and-courses/programs/indigenous-studies/,
NorQuest,Insurance Professional,Completion certificate,,https://www.norquest.ca/programs-and-courses/programs/insurance-professional/,
NorQuest,Interdisciplinary Therapy Assistant,Diploma,,https://www.norquest.ca/programs-and-courses/programs/interdisciplinary-therapy-assistant/,
NorQuest,Introduction to Anti-racism,Digital badge,,https://www.norquest.ca/programs-and-courses/programs/introduction-to-anti-racism/,
NorQuest,Introduction to Applied Research for Innovation,Microcredential,,https://www.norquest.ca/programs-and-courses/programs/introduction-to-applied-research-for-innovation/,
NorQuest,Introduction to Aviation Operations,Microcredential,,https://www.norquest.ca/programs-and-courses/programs/introduction-to-aviation-operations/,
NorQuest,Introduction to Esports,Microcredential,,https://www.norquest.ca/programs-and-courses/programs/esports/,
NorQuest,Introduction to Healthcare Technology,Microcredential,,https://www.norquest.ca/programs-and-courses/programs/introduction-to-healthcare-technology/,
NorQuest,Introduction to Inclusion,Digital badge,,https://www.norquest.ca/programs-and-courses/programs/introduction-to-inclusion/,
NorQuest,Introduction to Intercultural Understanding,Digital badge,,https://www.norquest.ca/programs-and-courses/programs/introduction-to-intercultural-understanding/,
NorQuest,Justice,Diploma,,https://www.norquest.ca/programs-and-courses/programs/justice/,
NorQuest,Leadership Training Certificate,Completion certificate,,https://www.norquest.ca/programs-and-courses/programs/leadership-training-certificate/,
NorQuest,LINC - Language Instruction for Newcomers to Canada,Completion certificate,,https://www.norquest.ca/programs-and-courses/programs/language-instruction-for-newcomers-to-canada/,
NorQuest,Machine Learning Analyst,Diploma,,https://www.norquest.ca/programs-and-courses/programs/machine-learning-analyst/,
NorQuest,Medical Device Reprocessing Technician,Certificate,,https://www.norquest.ca/programs-and-courses/programs/medical-device-reprocessing-technician/,
NorQuest,Medical Office Assistant,Certificate,,https://www.norquest.ca/programs-and-courses/programs/medical-office-assistant/,
NorQuest,Mental Health and Addiction Support Worker,Diploma,,https://www.norquest.ca/programs-and-courses/programs/mental-health-and-addiction-support-worker/,
NorQuest,Mental Health Recovery Practitioner,Post-diploma certificate,,https://www.norquest.ca/programs-and-courses/programs/mental-health-recovery-practitioner/,
NorQuest,"New Media, Communications, and Technology Specialization",Diploma,,https://www.norquest.ca/programs-and-courses/programs/new-media-communications-and-technology-specialization/,
NorQuest,Pharmacy Technician,Diploma,,https://www.norquest.ca/programs-and-courses/programs/pharmacy-technician/,
NorQuest,Practical Nurse,Diploma,,https://www.norquest.ca/programs-and-courses/programs/practical-nurse/,
NorQuest,Practical Nurse Diploma for Internationally Educated Nurses,Diploma,,https://www.norquest.ca/programs-and-courses/programs/practical-nurse-diploma-for-internationally-educated-nurses/,
NorQuest,Promoting Labour Market Attachment for Newcomers Living With Disabilities,Completion certificate,,https://www.norquest.ca/programs-and-courses/programs/promoting-labour-market-attachment-for-newcomers-living-with-disabilities/,
NorQuest,Settlement Studies,Diploma,,https://www.norquest.ca/programs-and-courses/programs/settlement-studies/,
