program_name,program_href,program_url,seed_source
Magnetic Resonance Imaging 1st Discipline,/programs/magnetic-resonance,https://www.nait.ca/programs/magnetic-resonance,program-card-element
Magnetic Resonance Imaging 2nd Discipline,/programs/magnetic-resonance-imaging,https://www.nait.ca/programs/magnetic-resonance-imaging,program-card-element
Materials Engineering Technology,/programs/materials-engineering-technology,https://www.nait.ca/programs/materials-engineering-technology,program-card-element
Mechanical Engineering Technology,/programs/mechanical-engineering-technology,https://www.nait.ca/programs/mechanical-engineering-technology,program-card-element
Media Communications and Production - Radio and Media Production,/programs/radio,https://www.nait.ca/programs/radio,program-card-element
Media Communications and Production - Television and Media Production,/programs/television,https://www.nait.ca/programs/television,program-card-element
Medical Laboratory Assisting,/programs/medical-laboratory-assisting,https://www.nait.ca/programs/medical-laboratory-assisting,program-card-element
Medical Laboratory Technology,/programs/medical-laboratory-technology,https://www.nait.ca/programs/medical-laboratory-technology,program-card-element
Medical Radiologic Technology,/programs/medical-radiologic-technology,https://www.nait.ca/programs/medical-radiologic-technology,program-card-element
Millwork and Carpentry,/programs/millwork-and-carpentry,https://www.nait.ca/programs/millwork-and-carpentry,program-card-element
Nanosystems Engineering Technology,/programs/nanosystems-engineering-technology,https://www.nait.ca/programs/nanosystems-engineering-technology,program-card-element
Narrative Cinema Production,/programs/narrative-cinema-production,https://www.nait.ca/programs/narrative-cinema-production,program-card-element
Network Engineering Technology,/programs/network-engineering-technology,https://www.nait.ca/programs/network-engineering-technology,program-card-element
Occupational Health and Safety,/programs/occupational-health-safety,https://www.nait.ca/programs/occupational-health-safety,program-card-element
Optical Sciences - Contact Lenses,/programs/optical-sciences-contact-lenses,https://www.nait.ca/programs/optical-sciences-contact-lenses,program-card-element
Optical Sciences - Eyeglasses,/programs/optical-sciences-eyeglasses,https://www.nait.ca/programs/optical-sciences-eyeglasses,program-card-element
Parts Technician,/apprenticeship/parts-technician,https://www.nait.ca/apprenticeship/parts-technician,program-card-element
Personal Fitness Trainer,/programs/personal-fitness-trainer,https://www.nait.ca/programs/personal-fitness-trainer,program-card-element
Petroleum Engineering Technology,/programs/petroleum-engineering-technology,https://www.nait.ca/programs/petroleum-engineering-technology,program-card-element
Plumber,/apprenticeship/plumber,https://www.nait.ca/apprenticeship/plumber,program-card-element
Power Engineering Technology,/programs/power-engineering-technology,https://www.nait.ca/programs/power-engineering-technology,program-card-element
"Power Engineering, 4th Class",/programs/power-engineering-4th-class,https://www.nait.ca/programs/power-engineering-4th-class,program-card-element
Power System Electrician,/apprenticeship/power-system-electrician,https://www.nait.ca/apprenticeship/power-system-electrician,program-card-element
Powerline Technician,/apprenticeship/powerline-technician,https://www.nait.ca/apprenticeship/powerline-technician,program-card-element
Pre-Employment Auto Body Repair,/programs/auto-body-pre-employment,https://www.nait.ca/programs/auto-body-pre-employment,program-card-element
Primary Care Paramedic,/programs/primary-care-paramedic,https://www.nait.ca/programs/primary-care-paramedic,program-card-element
Professional Meat Cutting & Merchandising,/programs/professional-meatcutting-and-merchandising,https://www.nait.ca/programs/professional-meatcutting-and-merchandising,program-card-element
Refrigeration and Air Conditioning Mechanic,/apprenticeship/refrigeration-and-air-conditioning-mechanic,https://www.nait.ca/apprenticeship/refrigeration-and-air-conditioning-mechanic,program-card-element
Respiratory Therapy,/programs/respiratory-therapy,https://www.nait.ca/programs/respiratory-therapy,program-card-element
Roofer,/apprenticeship/roofer,https://www.nait.ca/apprenticeship/roofer,program-card-element
Sheet Metal Worker,/apprenticeship/sheet-metal-worker,https://www.nait.ca/apprenticeship/sheet-metal-worker,program-card-element
Software Development,/programs/software-development,https://www.nait.ca/programs/software-development,program-card-element
Steamfitter/Pipefitter,/apprenticeship/steamfitter-pipefitter,https://www.nait.ca/apprenticeship/steamfitter-pipefitter,program-card-element
Surveying and Geospatial Engineering Technology,/programs/surveying-and-geospatial-engineering-technology,https://www.nait.ca/programs/surveying-and-geospatial-engineering-technology,program-card-element
Trades to Degrees Pathway to BBA Degree - Management Concentration,/programs/trades-to-degrees,https://www.nait.ca/programs/trades-to-degrees,program-card-element
Veterinary Medical Assistant,/programs/veterinary-medical-assistant,https://www.nait.ca/programs/veterinary-medical-assistant,program-card-element
Veterinary Technology,/programs/veterinary-technology,https://www.nait.ca/programs/veterinary-technology,program-card-element
Water and Wastewater Technician,/programs/water-wastewater-technician,https://www.nait.ca/programs/water-wastewater-technician,program-card-element
Welder,/apprenticeship/welder,https://www.nait.ca/apprenticeship/welder,program-card-element
Wireless Systems Engineering Technology,/programs/wireless-systems-engineering-technology,https://www.nait.ca/programs/wireless-systems-engineering-technology,program-card-element
